Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Mareblu Terme,https://www.hotelmareblu.it,https://www.google.com/maps/search/?api=1&query=Hotel+Mareblu+Terme+Ischia+Porto,Hotel 5 stelle,1,,https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-mobi.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-footer.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x764-sf-room-home.jpg?f=webp&v=1777905207.jpg,,2026-06-10,,No,Ischia Porto,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente. | PageSpeed: perf=79 seo=100 bp=96. Stack: core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Mareblu Terme; Hotel 5 stelle; Ischia Porto; 68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Terme Providence,https://www.providence.it,https://www.google.com/maps/search/?api=1&query=Hotel+Terme+Providence+Forio,Hotel 4 stelle,2,hotelprovidenceterme.ischia@gmail.com,https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-1.jpg?v=1779551500 https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-2.jpg?v=1779551500 https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-3.jpg?v=1779551500,,2026-06-10,,No,Forio,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Panoramica sulla baia di Citara piscine termali e acqua dolce spa family hotel indipendente. | PageSpeed: perf=59 seo=100 bp=92. Stack: jQuery|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Terme Providence; Hotel 4 stelle; Forio; Panoramica sulla baia di Citara piscine termali e acqua dolce spa family hotel indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Il Gattopardo Hotel Terme & Beauty Farm,https://www.ilgattopardo.com,https://www.google.com/maps/search/?api=1&query=Il+Gattopardo+Hotel+Terme+%26+Beauty+Farm+Forio,Hotel 4 stelle,3,info@ilgattopardo.com,https://www.ilgattopardo.com/ownimage/res_1000*666_20225915272215.jpg https://www.ilgattopardo.com/ownimage/res_201662011342177.jpg https://www.ilgattopardo.com/ownimage/res_2016620112450.jpg,,2026-06-10,,No,Forio,No,Sì (SEO 92),No (non rilevato),Incerto,2.5,Terme interne beauty farm giardino Via Mazzella indipendente familiare. | PageSpeed: perf=59 seo=92 bp=77. Stack: LitElement|lit-html|Google Maps|jQuery|jQuery UI. Booking engine: non rilevato. Blog non verificato (0.5).,Il Gattopardo Hotel Terme & Beauty Farm; Hotel 4 stelle; Forio; Terme interne beauty farm giardino Via Mazzella indipendente familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Torre Sant'Angelo,https://www.torresantangelo.com,https://www.google.com/maps/search/?api=1&query=Hotel+Torre+Sant%27Angelo+Serrara+Fontana,Hotel 4 stelle,2,info@torresantangelo.com,https://www.torresantangelo.com/data/sfondo-menu.jpg https://www.torresantangelo.com/plugins/img/png/chiudipopup.png https://www.torresantangelo.com/data/1920/ischia1.jpg,,2026-06-10,,No,Serrara Fontana,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Su promontorio vista baia di Sant'Angelo atmosfera boutique indipendente. | PageSpeed: perf=39 seo=92 bp=96. Stack: Bootstrap|jQuery|jQuery UI|Leaflet|jQuery Mobile|Moment.js|c. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Torre Sant'Angelo; Hotel 4 stelle; Serrara Fontana; Su promontorio vista baia di Sant'Angelo atmosfera boutique indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Maria Sant'Angelo,https://en.villamariasantangelo.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Maria+Sant%27Angelo+Serrara+Fontana,Hotel 3 stelle,2,info@villamariasantangelo.it,https://villamariasantangelo.it//wp-content/uploads/MENU-WHT.png https://villamariasantangelo.it//wp-content/uploads/MENU-CLOSE.png https://villamariasantangelo.it//wp-content/uploads/hotel-villa-maria-sant-angelo-ischia-le-terrazze-01.jpg,,2026-06-10,,No,Serrara Fontana,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Convenzionato terme Aphrodite e Tropical Via Quadro 29 gestione familiare. | PageSpeed: perf=66 seo=100 bp=77. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Villa Maria Sant'Angelo; Hotel 3 stelle; Serrara Fontana; Convenzionato terme Aphrodite e Tropical Via Quadro 29 gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Terme Saint Raphael,https://www.hotelsaintraphaelischia.it,https://www.google.com/maps/search/?api=1&query=Hotel+Terme+Saint+Raphael+Barano+d%27Ischia,Hotel 4 stelle,2,info@saintraphael.it,https://www.hotelsaintraphaelischia.it/source/no-img.png https://www.hotelsaintraphaelischia.it/ATImg/social/feedback/facebook.png https://www.hotelsaintraphaelischia.it/ATImg/social/feedback/tripadvisor.png,,2026-06-10,,No,Barano d'Ischia,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Fronte spiaggia dei Maronti piscine termali centro benessere indipendente. | PageSpeed: perf=74 seo=100 bp=96. Stack: jQuery|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Terme Saint Raphael; Hotel 4 stelle; Barano d'Ischia; Fronte spiaggia dei Maronti piscine termali centro benessere indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Quisisana,https://www.quisisana.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Quisisana+Capri,Hotel 5 stelle lusso,2,info@quisisana.com,https://www.quisisana.com/templates/grandhotelquisisana_2022/assets/newassets/key-green.png,,2026-06-10,,No,Capri,Sì (probabile),Sì (SEO 92),Sì (blastness),Incerto,3.5,148 camere Via Camerelle centro Capri icona dal 1845 ultra-lusso. | PageSpeed: perf=75 seo=92 bp=77. Stack: jQuery|jQuery UI. Booking engine: blastness. LUSSO(plus). Blog non verificato (0.5).,Grand Hotel Quisisana; Hotel 5 stelle lusso; Capri; 148 camere Via Camerelle centro Capri icona dal 1845 ultra-lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Capri Tiberio Palace,https://www.capritiberiopalace.it,https://www.google.com/maps/search/?api=1&query=Capri+Tiberio+Palace+Capri,Hotel 5 stelle,2,info@tiberiopalace.com,https://www.capritiberiopalace.it/images/ico_main_menu.png https://www.capritiberiopalace.it/images/ico_main_menu2.png https://www.capritiberiopalace.it/images/freccia.png,,2026-06-10,,No,Capri,Sì (probabile),Parziale (SEO 77),Sì (triptease),Incerto,3.5,Gruppo Shedhir familiare locale centro Capri ristorante kosher Michelin SPA 55 camere. | PageSpeed: perf=80 seo=77 bp=88. Stack: jQuery|jQuery UI|Modernizr|yepnope|FlexSlider. Booking engine: triptease. LUSSO(plus). Blog non verificato (0.5).,Capri Tiberio Palace; Hotel 5 stelle; Capri; Gruppo Shedhir familiare locale centro Capri ristorante kosher Michelin SPA 55 camere; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Punta Tragara,https://www.manfredihotels.com/en/punta-tragara,https://www.google.com/maps/search/?api=1&query=Hotel+Punta+Tragara+Capri,Hotel 5 stelle lusso,1,info@hoteltragara.it,https://www.manfredihotels.com/wp-content/themes/shopbiz-lite/images/phone.png https://www.manfredihotels.com/wp-content/themes/shopbiz-lite/images/map.png https://www.manfredihotels.com/wp-content/uploads/2020/03/Ico_Michelin-Star.png,,2026-06-10,,No,Capri,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,4.5,Gruppo Manfredi familiare napoletano Villa Le Corbusier 44 camere vista Faraglioni lusso esclusivo. | PageSpeed: perf=42 seo=77 bp=46. Stack: wordpress|Bootstrap|jQuery|jQuery UI|boomerang.js|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Punta Tragara; Hotel 5 stelle lusso; Capri; Gruppo Manfredi familiare napoletano Villa Le Corbusier 44 camere vista Faraglioni lusso esclusivo; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Scalinatella,https://www.scalinatella.com,https://www.google.com/maps/search/?api=1&query=Hotel+La+Scalinatella+Capri,Hotel 5 stelle boutique,1,info@scalinatella.com,https://scalinatella.com/themes/custom/scalinatella/img/home/Piscina-vista-mare.webp https://scalinatella.com/themes/custom/scalinatella/img/home/Ristorante-Capri-Casa-Morgano.webp https://scalinatella.com/themes/custom/scalinatella/img/home/Ristorante-Scalinatella-Capri.webp,,2026-06-10,,No,Capri,Incerto,Sì (SEO 100),No (non rilevato),Incerto,4.0,30 suite Via Tragara Best Hotel in the World Conde Nast altissimo lusso. | PageSpeed: perf=42 seo=100 bp=100. Stack: drupal|jQuery|Drupal. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel La Scalinatella; Hotel 5 stelle boutique; Capri; 30 suite Via Tragara Best Hotel in the World Conde Nast altissimo lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Brunella,https://www.villabrunella.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Brunella+Capri,Boutique hotel 4 stelle,2,info@villabrunella.it,https://www.villabrunella.it/images/header_1.jpg https://www.villabrunella.it/images/hero_1.jpg https://www.villabrunella.it/images/banner-location.jpg,,2026-06-10,,No,Capri,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,20 camere Via Tragara gestione familiare piscina ristorante vista Marina Piccola. | PageSpeed: perf=37 seo=100 bp=100. Stack: jQuery|MooTools|Leaflet|WebFont Loader. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Brunella; Boutique hotel 4 stelle; Capri; 20 camere Via Tragara gestione familiare piscina ristorante vista Marina Piccola; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Marina Capri Hotel & Spa,https://www.villamarinacapri.com,https://www.google.com/maps/search/?api=1&query=Villa+Marina+Capri+Hotel+%26+Spa+Capri,Hotel 5 stelle,1,reservations@villamarinacapri.com,https://www.villamarinacapri.com/wp-content/uploads/2023/06/wellnessTop-768x512.jpg https://www.villamarinacapri.com/wp-content/uploads/2023/10/DSC00097-480x330.jpg https://www.villamarinacapri.com/wp-content/uploads/2023/10/ravioli-480x349.jpg,,2026-06-10,,No,Capri,Incerto (stack classico),Sì (SEO 85),No (non rilevato),Incerto,4.0,Dimora storica inizio 900 Via Marina Grande indipendente parco secolare. | PageSpeed: perf=67 seo=85 bp=96. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Marina Capri Hotel & Spa; Hotel 5 stelle; Capri; Dimora storica inizio 900 Via Marina Grande indipendente parco secolare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Caesar Augustus,https://www.caesar-augustus.com,https://www.google.com/maps/search/?api=1&query=Hotel+Caesar+Augustus+Anacapri,Hotel 5 stelle lusso,1,info@caesar-augustus.com,https://www.caesar-augustus.com/images/hero4.jpg https://www.caesar-augustus.com/inc/img/conde-nast-award-2024@2x.png https://www.caesar-augustus.com/images/hero1.jpg,,2026-06-10,,No,Anacapri,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,56 camere scogliera a 300m sul mare Relais & Chateaux vista Baia di Napoli lusso boutique. | PageSpeed: perf=54 seo=100 bp=96. Stack: MooTools|Leaflet|WebFont Loader|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Caesar Augustus; Hotel 5 stelle lusso; Anacapri; 56 camere scogliera a 300m sul mare Relais & Chateaux vista Baia di Napoli lusso boutique; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Casa Mariantonia,https://www.casamariantonia.com,https://www.google.com/maps/search/?api=1&query=Casa+Mariantonia+Anacapri,Boutique hotel,2,info@casamariantonia.com,https://www.casamariantonia.com/images/h-index-01c.jpg https://www.casamariantonia.com/images/h-index-02c.jpg https://www.casamariantonia.com/images/h-index-03c.jpg,,2026-06-10,,No,Anacapri,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,11 camere Via Orlandi 180 uno dei primi inn dell'isola giardino limoni charme. | PageSpeed: perf=42 seo=92 bp=96. Stack: MooTools|Leaflet|WebFont Loader. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Casa Mariantonia; Boutique hotel; Anacapri; 11 camere Via Orlandi 180 uno dei primi inn dell'isola giardino limoni charme; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Ceselle,https://www.villaceselle.com,https://www.google.com/maps/search/?api=1&query=Villa+Ceselle+Anacapri,Boutique hotel,2,,https://www.villaceselle.com/images/h-home.jpg https://www.villaceselle.com/images/2_b.jpg https://www.villaceselle.com/images/3_b.jpg,,2026-06-10,,No,Anacapri,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Piccola villa immersa nel verde zona quieta di Anacapri charme. | PageSpeed: perf=44 seo=92 bp=96. Stack: MooTools|Leaflet|WebFont Loader|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Ceselle; Boutique hotel; Anacapri; Piccola villa immersa nel verde zona quieta di Anacapri charme; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
