Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Telefono,WhatsApp,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,2,,+39 089 711196 / +39 375 5620912,https://wa.me/393755620912,https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00088_1657011107.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00022_1657010880.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/terrazza_1657011198.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,3.5,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=62 seo=77 bp=100. Stack: jQuery|jQuery UI|jQuery Mobile. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Onda Verde,https://www.ondaverde.it,https://www.google.com/maps/search/?api=1&query=Hotel+Onda+Verde+Praiano,Hotel 4 stelle,2,info@hotelondaverde.com,+39 089 874143,,https://www.ondaverde.it/wp-content/uploads/2024/05/ondaverde_home_album1_4.jpg https://www.ondaverde.it/wp-content/uploads/2024/05/ondaverde_home_album1_3.jpg,,2026-06-10,,No,Praiano,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,A picco sul mare vicino spiaggia e borgo piscina gestione familiare. | PageSpeed: perf=75 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|FastClick|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Onda Verde; Hotel 4 stelle; Praiano; A picco sul mare vicino spiaggia e borgo piscina gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Margherita,https://www.hotelmargherita.info,https://www.google.com/maps/search/?api=1&query=Hotel+Margherita+Praiano,Hotel 4 stelle,2,,+39 089 874628 / +39 333 7166631,https://wa.me/393337166631,,,2026-06-10,,No,Praiano,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Gestione familiare vista Costiera terrazza solarium idromassaggio. | PageSpeed: perf=14 seo=92 bp=100. Stack: jQuery|jQuery UI|Modernizr|yepnope. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Margherita; Hotel 4 stelle; Praiano; Gestione familiare vista Costiera terrazza solarium idromassaggio; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Furore Grand Hotel,https://www.furoregrandhotel.com,https://www.google.com/maps/search/?api=1&query=Furore+Grand+Hotel+Furore,Hotel 5 stelle lusso,1,,+39 089 93573,,https://www.furoregrandhotel.com/wp-content/uploads/2024/08/FGH-Marchio-Orizzonale-White-768x457.png https://www.furoregrandhotel.com/wp-content/plugins/instagram-feed-pro/img/placeholder.png https://www.furoregrandhotel.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/it_IT.png,,2026-06-10,,No,Furore,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,4.5,Small Luxury Hotels terrazza sul mare spa piscina design minimalista lusso. | PageSpeed: perf=33 seo=92 bp=73. Stack: wordpress|jQuery|jQuery UI|Hammer.js|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Furore Grand Hotel; Hotel 5 stelle lusso; Furore; Small Luxury Hotels terrazza sul mare spa piscina design minimalista lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Monastero Santa Rosa,https://monasterosantarosa.com,https://www.google.com/maps/search/?api=1&query=Monastero+Santa+Rosa+Conca+dei+Marini,Hotel 5 stelle lusso,1,info@monasterosantarosa.com,+39 089 8321199,,https://monasterosantarosa.com/wp-content/uploads/2019/12/Book-Your-Reservation-light-button.png https://monasterosantarosa.com/wp-content/uploads/2019/12/foto-monastero-old-per-interno-sfum-980x776.jpg https://monasterosantarosa.com/wp-content/uploads/2020/08/nun-old-photo-980x1323.jpg,,2026-06-10,,No,Conca dei Marini,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Ex monastero '600 20 camere spa premiata giardini terrazzati ultra-luxury. | PageSpeed: perf=55 seo=92 bp=50. Stack: wordpress|jQuery|jQuery Mobile|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Monastero Santa Rosa; Hotel 5 stelle lusso; Conca dei Marini; Ex monastero '600 20 camere spa premiata giardini terrazzati ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Belvedere,https://belvederehotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Belvedere+Conca+dei+Marini,Hotel 4 stelle,3,belvedere@belvederehotel.it,+39 089 831282,,https://www.belvederehotel.it/wp-content/uploads/2025/07/DJI_0068-scaled.jpg https://www.belvederehotel.it/wp-content/uploads/2025/03/DSC_2596-768x1152.jpg https://www.belvederehotel.it/wp-content/uploads/2025/03/DSC_4426-768x1154.jpg,,2026-06-10,,No,Conca dei Marini,Sì (probabile),Sì (SEO 85),Sì (simplebooking),Incerto,2.5,A picco sulla scogliera piscina acqua marina accesso privato spiaggia. | PageSpeed: perf=56 seo=85 bp=100. Stack: wordpress|jQuery|jQuery UI|Isotope|WordPress|core-js. Booking engine: simplebooking. Blog non verificato (0.5).,Hotel Belvedere; Hotel 4 stelle; Conca dei Marini; A picco sulla scogliera piscina acqua marina accesso privato spiaggia; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Santa Caterina,https://www.hotelsantacaterina.it,https://www.google.com/maps/search/?api=1&query=Hotel+Santa+Caterina+Amalfi,Hotel 5 stelle lusso,1,info@hotelsantacaterina.it,+39 089 871012,,https://www.hotelsantacaterina.it/wp-content/uploads/2024/11/DSC00744_lavorata-768x504.jpg https://www.hotelsantacaterina.it/wp-content/uploads/2022/10/entrance-hsc.png https://www.hotelsantacaterina.it/wp-content/uploads/2022/10/santa-caterina-floors-768x1152.jpg,,2026-06-10,,No,Amalfi,Incerto (stack classico),Sì (SEO 85),No (non rilevato),Incerto,4.0,Leading Hotels of the World storico sul mare ristorante stellato Glicine ascensore spiaggia ultra-luxury. | PageSpeed: perf=78 seo=85 bp=100. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Santa Caterina; Hotel 5 stelle lusso; Amalfi; Leading Hotels of the World storico sul mare ristorante stellato Glicine ascensore spiaggia ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Borgo Santandrea,https://borgosantandrea.it,https://www.google.com/maps/search/?api=1&query=Borgo+Santandrea+Amalfi,Hotel 5 stelle lusso,1,info@borgosantandrea.it,+39 089 831148,,https://borgosantandrea.it/wp-content/themes/borgosantandrea/build/img/select_down.png https://borgosantandrea.it/wp-content/themes/borgosantandrea/build/img/tile_tortora.png https://borgosantandrea.it/wp-content/plugins/wpforms/assets/images/submit-spin.svg,,2026-06-10,,No,Amalfi,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Relais & Chateaux 29 camere 16 suite spiaggia privata riaperto 2022 ultra-luxury. | PageSpeed: perf=66 seo=92 bp=96. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Borgo Santandrea; Hotel 5 stelle lusso; Amalfi; Relais & Chateaux 29 camere 16 suite spiaggia privata riaperto 2022 ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Marina Riviera,https://www.marinariviera.it,https://www.google.com/maps/search/?api=1&query=Hotel+Marina+Riviera+Amalfi,Hotel 4 stelle,4,info@marinariviera.it,+39 089 871104,,https://www.marinariviera.it/_nuxt/img/video-home.dca42b3.jpg https://www.marinariviera.it/_nuxt/img/box-bistrot-01.17df36e.jpg https://www.marinariviera.it/_nuxt/img/box-bistrot-02.6ef0260.jpg,,2026-06-10,,No,Amalfi,No,Parziale (SEO 57),Sì (simplebooking),Incerto,1.5,Lungomare ingresso Amalfi vista mare gestione familiare. | PageSpeed: perf=47 seo=57 bp=92. Stack: nuxt|Lo-Dash|GreenSock JS|Vue|Nuxt.js|core-js. Booking engine: simplebooking. Blog non verificato (0.5).,Hotel Marina Riviera; Hotel 4 stelle; Amalfi; Lungomare ingresso Amalfi vista mare gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Luna Convento,https://www.lunahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Luna+Convento+Amalfi,Hotel 4 stelle,2,info@lunahotel.it,+39 089 871002,,https://www.lunahotel.it/images/1600/chiostro/1.jpg https://www.lunahotel.it/images/1600/camere/suite-luna/1-2.jpg https://www.lunahotel.it/images/1600/camere/suite-luna/9-copy.jpg,,2026-06-10,,No,Amalfi,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Ex convento del 1200 chiostro arabo-normanno piscina acqua marina indipendente. | PageSpeed: perf=66 seo=92 bp=100. Stack: jQuery|jQuery UI. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Luna Convento; Hotel 4 stelle; Amalfi; Ex convento del 1200 chiostro arabo-normanno piscina acqua marina indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Residence,https://www.residencehotel-amalfi.it,https://www.google.com/maps/search/?api=1&query=Hotel+Residence+Amalfi,Hotel 4 stelle,3,,+39 089 871183,,,,2026-06-10,,No,Amalfi,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,2.5,Palazzo '700 sul Duomo 27 camere vista mare ristrutturato 2010. | PageSpeed: perf=83 seo=100 bp=77. Stack: n/d. Booking engine: blastness. Blog non verificato (0.5).,Hotel Residence; Hotel 4 stelle; Amalfi; Palazzo '700 sul Duomo 27 camere vista mare ristrutturato 2010; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Lidomare,http://www.lidomare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Lidomare+Amalfi,Hotel 3 stelle / B&B,3,info@lidomare.it,+39 089 871332,,http://www.lidomare.it/images/television.svg http://www.lidomare.it/images/wifi-sign.svg http://www.lidomare.it/images/hairdryer.svg,,2026-06-10,,No,Amalfi,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,2.5,Edificio del 1300 vicino al Duomo 18 camere conduzione familiare. | PageSpeed: perf=72 seo=92 bp=74. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Lidomare; Hotel 3 stelle / B&B; Amalfi; Edificio del 1300 vicino al Duomo 18 camere conduzione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Lucibello,https://www.lucibello.it,https://www.google.com/maps/search/?api=1&query=Lucibello+Positano,Tour operator / escursioni in barca,2,info@lucibello.it,+39 089 875032 / +39 366 7529243,https://wa.me/393667529243,https://www.lucibello.it/images/payment-methods-lucibello-positano.png?v=d2fd https://www.lucibello.it/images/large/tbgc7958_private-boat-tour-to-capri-island-2.jpg?v=aa6a https://www.lucibello.it/images/large/tbgc10360_boat-party-amalfi-coast-lucibello-positano-4.jpg?v=d7d9,https://naplesexperiences-netizen.github.io/experiences-demos/demos/lucibello-experiences-standard/,2026-06-20,,No,Positano,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Dal 1936 noleggio e tour privati in barca Capri e Costiera charter yacht. | PageSpeed: perf=50 seo=92 bp=100. Stack: Bootstrap|jQuery|WebFont Loader|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Lucibello; Tour operator / escursioni in barca; Positano; Dal 1936 noleggio e tour privati in barca Capri e Costiera charter yacht; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
L'Uomo e il Mare Plaghia Charter,https://www.escursioniluomoeilmare.it,https://www.google.com/maps/search/?api=1&query=L%27Uomo+e+il+Mare+Plaghia+Charter+Positano,Tour operator / escursioni in barca,2,info@plaghiacharter.it,+39 089 811613 / +39 339 6646646,https://wa.me/393396646646,https://www.escursioniluomoeilmare.it/images/tripadvisor-top-rated_330.png?v=b9c3 https://www.escursioniluomoeilmare.it/images/large/tbg776_capri-boat-tour-from-positano.jpeg?v=d633 https://www.escursioniluomoeilmare.it/images/large/tbg781_bost-tour-amalfi-coast-furore-fjord.jpeg?v=c361,,2026-06-10,,No,Positano,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Escursioni e tour privati in barca lungo la Costiera. | PageSpeed: perf=62 seo=92 bp=96. Stack: Bootstrap|jQuery|WebFont Loader. Booking engine: non rilevato. Blog non verificato (0.5).,L'Uomo e il Mare Plaghia Charter; Tour operator / escursioni in barca; Positano; Escursioni e tour privati in barca lungo la Costiera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Amalfi Coast Destination,https://www.amalficoastdestination.com,https://www.google.com/maps/search/?api=1&query=Amalfi+Coast+Destination+Amalfi,Tour operator / DMC incoming,3,,,,https://www.amalficoastdestination.com/wp-content/uploads/slider-01.jpg https://www.amalficoastdestination.com/wp-content/uploads/pt-amalficoast-01.jpg https://www.amalficoastdestination.com/wp-content/uploads/naplessorrento-01.jpg,,2026-06-10,,No,Amalfi,No,Sì (SEO 85),No (non rilevato),Incerto,2.5,DMC Amalfi shore excursions transfer tour su misura food wine incoming luxury. | PageSpeed: perf=39 seo=85 bp=92. Stack: wordpress|Bootstrap|LitElement|lit-html|Google Maps|jQuery|j. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Amalfi Coast Destination; Tour operator / DMC incoming; Amalfi; DMC Amalfi shore excursions transfer tour su misura food wine incoming luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Avino,https://www.palazzoavino.com,https://www.google.com/maps/search/?api=1&query=Palazzo+Avino+Ravello,Hotel 5 stelle lusso,1,info@palazzoavino.com,+39 089 818181,,https://www.palazzoavino.com/wp-content/uploads/2020/04/book-now.svg https://www.palazzoavino.com/wp-content/themes/palazzo-avino/assets/images/lion.svg https://www.palazzoavino.com/wp-content/themes/palazzo-avino/assets/images/arrow.svg,,2026-06-10,,No,Ravello,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Palazzo Sasso XII sec 43 camere 10 suite vista golfo Leading Hotels ristorante stellato. | PageSpeed: perf=69 seo=92 bp=96. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Palazzo Avino; Hotel 5 stelle lusso; Ravello; Palazzo Sasso XII sec 43 camere 10 suite vista golfo Leading Hotels ristorante stellato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Cimbrone,https://www.hotelvillacimbrone.com,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Cimbrone+Ravello,Hotel 5 stelle / dimora storica,1,info@villacimbrone.it,+39 089 857459,,https://www.hotelvillacimbrone.com/wp-content/themes/hvc-theme/img/slide-arrow-button.png https://www.hotelvillacimbrone.com/wp-content/uploads/2019/10/230930_racjoe1121-1024x683.jpg https://www.hotelvillacimbrone.com/wp-content/uploads/2019/12/Hotel-Villa-Cimbrone-slide-home-1-1024x683.jpg,,2026-06-10,,No,Ravello,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,4.5,Dimora XII sec giardini celebri hotel de charme panoramica luxury. | PageSpeed: perf=60 seo=77 bp=69. Stack: wordpress|Bootstrap|jQuery|jQuery UI|Backbone|Underscore|Wor. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Cimbrone; Hotel 5 stelle / dimora storica; Ravello; Dimora XII sec giardini celebri hotel de charme panoramica luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Rufolo,https://hotelrufolo.it,https://www.google.com/maps/search/?api=1&query=Hotel+Rufolo+Ravello,Hotel 4 stelle,2,info@hotelrufolo.it,+39 089 857133,,https://www.hotelrufolo.com/images/slider/slide01.jpg https://www.hotelrufolo.com/images/slider/slide-h09.jpg https://www.hotelrufolo.com/images/slider/slide-h04.jpg,,2026-06-10,,No,Ravello,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,Accanto a Villa Rufolo piscina con vista centro Ravello. | PageSpeed: perf=28 seo=100 bp=73. Stack: joomla|Bootstrap|jQuery|GreenSock JS|Joomla. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Rufolo; Hotel 4 stelle; Ravello; Accanto a Villa Rufolo piscina con vista centro Ravello; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Graal,https://www.hotelgraal.it,https://www.google.com/maps/search/?api=1&query=Hotel+Graal+Ravello,Hotel 4 stelle,2,info@hotelgraal.it,+39 089 857222 / +39 366 9266396,https://wa.me/393669266396,https://www.hotelgraal.it/public/web/slideshow/thumb/hotel-graal-ravello-piscina-pool-panorama_247b184c07b7f301a611278e5fc9f95f.jpg https://www.hotelgraal.it/public/web/slideshow/thumb/hotel-graal-ravello-piscina-pool-g_ss_4a88bc9ee5c430d8e29ebc725995adf8.jpg https://www.hotelgraal.it/public/web/slideshow/thumb/hotel-graal-ravello-piscina-pool-j_ss_d99d4e005c0b0a1bb1ce2f6e2f5e34b6.jpg,,2026-06-10,,No,Ravello,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Via della Repubblica vista mare piscina ristorante. | PageSpeed: perf=43 seo=92 bp=73. Stack: Bootstrap|jQuery|Modernizr|Moment.js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Graal; Hotel 4 stelle; Ravello; Via della Repubblica vista mare piscina ristorante; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Fraulo,https://www.villafraulo.com,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Fraulo+Ravello,Hotel 4 stelle,2,reservations@villafraulo.com,+39 089 858283,,https://villafraulo.com/wp-content/uploads/2026/01/1024_entratalaterale.jpg https://villafraulo.com/wp-content/uploads/2026/01/1024_facciata-1.jpg https://villafraulo.com/wp-content/uploads/2026/01/1024_Suite_Idromassaggio_03_20191-768x576.jpg,,2026-06-10,,No,Ravello,Sì (probabile),Parziale (SEO 61),No (non rilevato),Incerto,3.5,Via San Giovanni del Toro vicino Villa Rufolo dimora esclusiva centro Ravello. | PageSpeed: perf=61 seo=61 bp=96. Stack: wordpress|jQuery|jQuery UI|GreenSock JS|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Villa Fraulo; Hotel 4 stelle; Ravello; Via San Giovanni del Toro vicino Villa Rufolo dimora esclusiva centro Ravello; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Scarpariello Relais,https://www.villascarpariellorelais.it,https://www.google.com/maps/search/?api=1&query=Villa+Scarpariello+Relais+Ravello,Relais / boutique,2,info@villascarpariellorelais.it,+39 089 871996,,https://www.villascarpariellorelais.it/images/home-alloggi-appartamenti-elena.jpg https://www.villascarpariellorelais.it/images/home-alloggi-appartamenti-emanuele.jpg https://www.villascarpariellorelais.it/images/home-alloggi-appartamenti-ficus.jpg,,2026-06-10,,No,Ravello,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Marmorata relais fronte mare torre storica boutique luxury. | PageSpeed: perf=62 seo=92 bp=92. Stack: jQuery. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Scarpariello Relais; Relais / boutique; Ravello; Marmorata relais fronte mare torre storica boutique luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Ravello Art Hotel Marmorata,https://hotelmarmorata.com,https://www.google.com/maps/search/?api=1&query=Ravello+Art+Hotel+Marmorata+Ravello,Hotel 4 stelle,2,,,,,,2026-06-10,,No,Ravello,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Marmorata ex cartiera beach club spa piscina vista mare. | PageSpeed: perf=62 seo=100 bp=96. Stack: Bootstrap|jQuery|Modernizr. Booking engine: non rilevato. Blog non verificato (0.5).,Ravello Art Hotel Marmorata; Hotel 4 stelle; Ravello; Marmorata ex cartiera beach club spa piscina vista mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Pascal,https://palazzopascal.it,https://www.google.com/maps/search/?api=1&query=Palazzo+Pascal+Scala,Hotel 5 stelle boutique,2,info@palazzopascal.it,+39 089 858312 / +39 338 8322343,https://wa.me/393388322343,https://palazzopascal.it/public/finder/layout/immagini/ico-virtual-tour.webp https://palazzopascal.it/public/finder/layout/immagini/ico-calendar.webp https://palazzopascal.it/public/web/slideshow/thumb/tour-virtuale.webp,,2026-06-10,,No,Scala,Incerto (stack classico),Sì (SEO 100),Sì (bedzzle),Incerto,3.0,Frazione Minuta dimora nobiliare gestione familiare boutique luxury. | PageSpeed: perf=81 seo=100 bp=100. Stack: Bootstrap|jQuery|Modernizr|Moment.js. Booking engine: bedzzle. LUSSO(plus). Blog non verificato (0.5).,Palazzo Pascal; Hotel 5 stelle boutique; Scala; Frazione Minuta dimora nobiliare gestione familiare boutique luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Ferraioli Hotel & Wellness,https://www.palazzoferraioli.it,https://www.google.com/maps/search/?api=1&query=Palazzo+Ferraioli+Hotel+%26+Wellness+Atrani,Hotel & wellness,2,info@palazzoferraioli.it,+39 089 872652,,https://www.palazzoferraioli.it/wp-content/uploads/2026/02/shutterstock_1672716817-722x1024.webp https://www.palazzoferraioli.it/wp-content/uploads/2026/02/emi_1792-1024x684.webp https://www.palazzoferraioli.it/wp-content/uploads/2026/02/index-02.webp,,2026-06-10,,No,Atrani,Sì (probabile),Parziale (SEO 66),No (non rilevato),Incerto,3.5,Edificio primi '900 centro benessere vicino spiaggia di Atrani. | PageSpeed: perf=61 seo=66 bp=96. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Palazzo Ferraioli Hotel & Wellness; Hotel & wellness; Atrani; Edificio primi '900 centro benessere vicino spiaggia di Atrani; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Atrani Rooms,https://www.atranirooms.it,https://www.google.com/maps/search/?api=1&query=Atrani+Rooms+Atrani,B&B / affittacamere,4,info@atranirooms.it,+39 089 871812,,https://www.atranirooms.it/wp-content/uploads/2021/03/atrani-da-mare.jpg https://www.atranirooms.it/wp-content/uploads/2024/02/IMG_20230709_080338.webp https://www.atranirooms.it/wp-content/uploads/2021/02/salvia_rooms_amalfi_atrani.jpg,,2026-06-10,,No,Atrani,No,Sì (SEO 100),No (non rilevato),Incerto,1.5,Via dei Dogi familiare camere e mini suite vicino al mare. | PageSpeed: perf=73 seo=100 bp=96. Stack: wordpress|wp-rocket|WordPress|WP Rocket. Booking engine: non rilevato. Blog non verificato (0.5).,Atrani Rooms; B&B / affittacamere; Atrani; Via dei Dogi familiare camere e mini suite vicino al mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Romana Hotel & Spa,https://www.hotelvillaromana.it,https://www.google.com/maps/search/?api=1&query=Villa+Romana+Hotel+%26+Spa+Minori,Hotel 4 stelle,3,info@hotelvillaromana.it,+39 089 877237,,,,2026-06-10,,No,Minori,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,2.5,Corso Vittorio Emanuele spa vicino centro storico e mare. | PageSpeed: perf=82 seo=100 bp=81. Stack: n/d. Booking engine: blastness. Blog non verificato (0.5).,Villa Romana Hotel & Spa; Hotel 4 stelle; Minori; Corso Vittorio Emanuele spa vicino centro storico e mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Minori Palace,https://minoripalace.com,https://www.google.com/maps/search/?api=1&query=Minori+Palace+Minori,Hotel 4 stelle,2,reservations@minoripalace.com,+39 089 851506,,https://minoripalace.com/wp-content/uploads/home-header-reception.webp https://minoripalace.com/wp-content/uploads/exterior-facade-768x511.jpg https://minoripalace.com/wp-content/uploads/bar-02.webp,,2026-06-10,,No,Minori,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,44 camere rooftop ristorante panoramico centro Minori. | PageSpeed: perf=95 seo=100 bp=96. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Minori Palace; Hotel 4 stelle; Minori; 44 camere rooftop ristorante panoramico centro Minori; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
