Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Grand Hotel Cesare Augusto,https://www.hotelcesareaugusto.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Cesare+Augusto+Sorrento,Hotel 4 stelle,1,info@hotelcesareaugusto.com,,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-cesare-augusto-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Sì (probabile),Sì (SEO 100),Sì (blastness),No,4.0,120 camere centro Sorrento. Blastness confermato. SEO 100. | PageSpeed mobile: perf=70 seo=100 bp=81. Stack: n/d. Booking engine: blastness.,Grand Hotel Cesare Augusto; 4 stelle 120 camere; Sorrento centro; hotel per gruppi e tour operator; punti forza: posizione centrale - roof garden con piscina - grande capacità per gruppi - ristorante - vicino Piazza Tasso; palette blu + crema + oro; sezioni: hero / camere / roof e piscina / gruppi e tour operator / ristorante / prenota; lingue IT/EN; tono efficiente accogliente; CTA 'Prenota / Richiedi preventivo gruppi'
Hotel Lorelei et Londres,https://www.loreleisorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Lorelei+et+Londres+Sorrento,Hotel 5 stelle,2,info@loreleisorrento.com,https://www.loreleisorrento.com/wp-content/themes/lorelei/images/home/roomVertical.jpg https://www.loreleisorrento.com/wp-content/themes/lorelei/images/home/roomsLong.jpg https://www.loreleisorrento.com/wp-content/themes/lorelei/images/home/diningDish.png,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-lorelei-et-londres-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,No,Sì (SEO 85),No (non rilevato),No,3.0,WordPress + React + WP Rocket (sito moderno). Ristrutturato 2019. Ristorante 1 stella Michelin. | PageSpeed mobile: perf=63 seo=85 bp=100. Stack: wordpress|wp-rocket|react|jQuery|React|WordPress|core-js|WP . Booking engine: non rilevato.,Hotel Lorelei et Londres; 5 stelle boutique; Sorrento fronte mare; dimora rinnovata 2019 con ristorante stellato; punti forza: vista golfo - piscina panoramica - ristorante 1 stella Michelin - terrazza - posizione centrale; palette pastello mediterraneo + oro; sezioni: hero / camere / piscina / ristorante stellato / esperienze / prenota; lingue IT/EN; tono raffinato gastronomico; CTA 'Prenota la tua esperienza'
Grand Hotel La Favorita,https://www.hotellafavorita.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+La+Favorita+Sorrento,Hotel 5 stelle,1,info@hotellafavorita.com,https://www.hotellafavorita.com/wp-content/uploads/easter2023-768x768.webp https://www.hotellafavorita.com/wp-content/uploads/ingresso.jpg https://www.hotellafavorita.com/wp-content/uploads/favorita_18-e1689673695861.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-la-favorita-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Sì (probabile),Sì (SEO 100),No (non rilevato),No,4.0,WordPress + jQuery UI. 85 camere. Booking via ermeshotels (non emerso in PageSpeed ma noto). SEO 100. | PageSpeed mobile: perf=62 seo=100 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato.,Grand Hotel La Favorita; 5 stelle 85 camere; Sorrento centro; hotel elegante con roof garden; punti forza: posizione centrale - piscina roof con vista - ristorante - spa - eventi e matrimoni; palette oro + avorio + verde; sezioni: hero / camere e suite / roof e piscina / dining / eventi / prenota; lingue IT/EN; tono classico lussuoso; CTA 'Prenota ora'
Grand Hotel Ambasciatori,https://www.ambasciatorisorrento.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Ambasciatori+Sorrento,Hotel 5 stelle (Manniello Hotels),3,ambasciatori@manniellohotels.com,https://www.ambasciatorisorrento.com/wp-content/uploads/sites/344/2024/07/Aperitivo-Mobile-450x900.jpg https://www.ambasciatorisorrento.com/wp-content/uploads/sites/344/2024/07/Aperitivo-Mobile-300x150.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-ambasciatori-demo-experiences/,2026-06-11,2026-06-11,No,Sorrento,No,Sì (SEO 85),Sì (d-edge|decms),No,2.0,Stack Vue moderno + D-Edge confermato. Sito già rinnovato. | PageSpeed mobile: perf=72 seo=85 bp=100. Stack: jQuery|Lo-Dash|Vue|core-js. Booking engine: d-edge|decms.,Grand Hotel Ambasciatori; 5 stelle; Sorrento a picco sul mare; resort panoramico Manniello con beach club; punti forza: terrazza a picco sul golfo - piscina - ascensore al beach club - ristorante - vista Vesuvio; palette blu profondo + oro + bianco; sezioni: hero scogliera / camere / piscina e beach club / dining / esperienze / prenota; lingue IT/EN; tono elegante panoramico; CTA 'Prenota la tua vista'
Hotel Continental Sorrento,https://www.continentalsorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Continental+Sorrento,Hotel 4 stelle,1,info@continentalsorrento.com,https://www.continentalsorrento.com/continental-chiusurafb.jpg https://www.continentalsorrento.com/images/gif-load.gif https://www.continentalsorrento.com/gallery/gallery/hotel-08466UAXKJAYE4M2.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-continental-sorrento-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Sì (probabile),Sì (SEO 85),No (non rilevato),No,4.0,"Stack Bootstrap+jQuery+Modernizr+yepnope (datato). Nessun booking engine rilevato in PageSpeed (la prima ricerca diceva Blastness: verificare). Piscina, terrazza. | PageSpeed mobile: perf=67 seo=85 bp=96. Stack: Bootstrap|jQuery|Modernizr|yepnope. Booking engine: non rilevato.",Hotel Continental Sorrento; 4 stelle; Sorrento centro vicino al porto; hotel panoramico con piscina; punti forza: terrazza panoramica - piscina - vicino Chiostro San Francesco e porto - ristorante; palette blu + bianco; sezioni: hero / camere / piscina e terrazza / ristorante / posizione / prenota; lingue IT/EN; tono accogliente classico; CTA 'Prenota ora'
Hotel Club Sorrento,http://www.hotelclubsorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Club+Sorrento+SantAgnello,Hotel 4 stelle,2,info@hotelclubsorrento.com,https://www.hotelclubsorrento.com/images/Flag/IT.png https://www.hotelclubsorrento.com/images/Flag/GB.png https://www.hotelclubsorrento.com/images/trip.png,,2026-06-09,,No,Sant'Agnello,Incerto (stack classico),Parziale (SEO 77),No (non rilevato),No,3.5,Solo Bootstrap+jQuery. SEO basso (77). Nessun engine rilevato (prima ricerca SimpleBooking: verificare). 58 camere a conduzione familiare. | PageSpeed mobile: perf=65 seo=77 bp=74. Stack: Bootstrap|jQuery. Booking engine: non rilevato.,Hotel Club Sorrento; 4 stelle conduzione familiare; Sant'Agnello; hotel intimo con piscina; punti forza: atmosfera familiare - piscina - giardino - vicino al centro - colazione; palette verde + bianco + legno; sezioni: hero / camere / piscina e giardino / servizi / dintorni / prenota; lingue IT/EN; tono familiare caloroso; CTA 'Prenota il tuo soggiorno'
Best Western Hotel La Solara,https://www.lasolara.com,https://www.google.com/maps/search/?api=1&query=Best+Western+Hotel+La+Solara+Sorrento,Hotel 4 stelle (catena BW),3,info@lasolara.com,https://www.lasolara.com/wp-content/uploads/sites/123/2024/07/BW-core-w-768x281.png https://www.lasolara.com/wp-content/uploads/sites/123/2025/01/HOTEL-VIEW-768x512.webp https://www.lasolara.com/wp-content/uploads/sites/123/2025/01/Lounge-Bar10-768x512.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/best-western-hotel-la-solara-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,No,Sì (SEO 92),Sì (triptease),No,2.0,WordPress + Preact + Triptease. Catena Best Western. | PageSpeed mobile: perf=37 seo=92 bp=77. Stack: wordpress|jQuery|jQuery UI|Preact|Moment.js|WordPress|core-j. Booking engine: triptease.,Best Western Hotel La Solara; 4 stelle 58 camere; Sorrento Capo; hotel con piscina e navetta; punti forza: piscina con solarium - navetta centro - parcheggio - ristorante - camere ampie; palette blu + bianco; sezioni: hero / camere / piscina / ristorante / servizi / prenota; lingue IT/EN; tono efficiente moderno; CTA 'Prenota ora' (NB: vincoli brand catena)
Grand Hotel Vesuvio Sorrento,https://www.vesuviosorrento.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Vesuvio+Sorrento,Hotel 4 stelle,2,info@vesuviosorrento.com,https://www.vesuviosorrento.com/thumb/640x/0/66c11e6ea3e4ac1b7ac62a9045a836de/assets/images/public/slider/screen/hotelvesuviosorrento-9_1626797583.jpg.webp https://www.vesuviosorrento.com/thumb/x1088/0/cfe1c74748dba386294d7420cf2b22ae/assets/images/public/items/gallery/big/dsc04909_1700588294.jpg.webp https://www.vesuviosorrento.com/thumb/x1088/0/f08374cae6d477c6028f18c2c4470d3c/assets/images/public/items/gallery/big/dsc05827_1700588411.jpg.webp,,2026-06-09,,No,Sorrento,Incerto (stack classico),Sì (SEO 100),No (non rilevato),No,3.5,Bootstrap+jQuery. Booking diretto (no engine esterno rilevato). Sale congressi. | PageSpeed mobile: perf=65 seo=100 bp=100. Stack: Bootstrap|jQuery|core-js. Booking engine: non rilevato.,Grand Hotel Vesuvio Sorrento; 4 stelle; Sorrento; grande hotel con sale congressi; punti forza: piscina - sale meeting ed eventi - ristorante - vicino centro - parcheggio; palette blu + grigio + bianco; sezioni: hero / camere / piscina / eventi e congressi / ristorante / prenota; lingue IT/EN; tono professionale congressuale; CTA 'Prenota / Richiedi preventivo eventi'
Hotel Antiche Mura Sorrento,https://www.hotelantichemura.com,https://www.google.com/maps/search/?api=1&query=Hotel+Antiche+Mura+Sorrento+Piazza+Tasso,Hotel 4 stelle,1,info@hotelantichemura.com,https://www.hotelantichemura.com/assets/images/layout/endesia-white.svg https://www.hotelantichemura.com/assets/images/positivessl_trust_seal_lg_222x54.png https://www.hotelantichemura.com/assets/images/public/slider/screen/swimming08-1920x1080_1562165772.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-antiche-mura-sorrento-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Sì (probabile),Parziale (SEO 83),No (non rilevato),No,4.0,Bootstrap+jQuery+yepnope (stack misto). Piazza Tasso. Nessun engine in PageSpeed (prima ricerca SimpleBooking hid=431: probabile). | PageSpeed mobile: perf=76 seo=83 bp=96. Stack: Bootstrap|jQuery|yepnope. Booking engine: non rilevato.,Hotel Antiche Mura Sorrento; 4 stelle; Sorrento Piazza Tasso; hotel di charme nel centro storico; punti forza: posizione premium centro storico - piscina nel vallone dei mulini - agrumeto - ristorante; palette ocra + verde agrume + crema; sezioni: hero / camere / piscina e giardino / ristorante / posizione / prenota; lingue IT/EN; tono elegante centrale; CTA 'Prenota ora'
HP Travel,https://www.hptravel.it,https://www.google.com/maps/search/?api=1&query=HP+Travel+Ercolano,Tour operator incoming,3,info@hptravel.it,https://www.hptravel.it/wp-content/uploads/2024/02/sorrento-italy_hp-travel.jpg https://www.hptravel.it/wp-content/uploads/2024/02/sorrento-italy_hp-travel.webp,,2026-06-09,,No,Ercolano,No,Sì (SEO 92),Sì (getyourguide),No,2.0,WordPress + WP Rocket. GetYourGuide identificato come distributore. Base Ercolano. | PageSpeed mobile: perf=72 seo=92 bp=100. Stack: wordpress|wp-rocket|jQuery|jQuery UI|WordPress|core-js|WP Ro. Booking engine: getyourguide.,HP Travel; tour operator escursioni e transfer; Ercolano; incoming per Costiera Capri Pompei; punti forza: escursioni e transfer su misura - guide - prenotazione online - copertura golfo e costiera; palette blu + arancio; sezioni: home con ricerca tour / escursioni / transfer / prenota online / chi siamo / contatti; lingue IT/EN; tono dinamico; CTA 'Prenota online'
Sorrento Tourist Office,https://www.sorrentotouristoffice.com,https://www.google.com/maps/search/?api=1&query=Sorrento+Tourist+Office,Web tour operator / agenzia viaggi,2,info@sorrentotouristoffice.com,https://www.sorrentotouristoffice.com/foto-escursioni/thumbs/capri-and-blue-grotto-boat-tour-prime-experience-with-max-8-guests_1648029012.jpg https://www.sorrentotouristoffice.com/foto-escursioni/thumbs/due-golfi-train-tour-am_1771229220.jpg https://www.sorrentotouristoffice.com/foto-escursioni/thumbs/positano-amalfi-ravello-sharing_1748342267.jpg,,2026-06-09,,No,Sorrento,Sì (probabile),Parziale (SEO 75),No (non rilevato),No,3.0,Bootstrap+jQuery+jQuery UI. SEO 75. E-commerce escursioni con sezione Luxury. | PageSpeed mobile: perf=60 seo=75 bp=100. Stack: Bootstrap|jQuery|jQuery UI|core-js. Booking engine: non rilevato.,Sorrento Tourist Office; agenzia/web tour operator; Sorrento; booking online escursioni e transfer; punti forza: e-commerce escursioni - sezione luxury - transfer e tour - pagamenti online; palette blu + bianco + oro; sezioni: home / escursioni / luxury / transfer / prenota / contatti; lingue IT/EN; tono pratico orientato al booking; CTA 'Prenota la tua escursione'
Hotel Bellevue Syrene,https://www.bellevue.it,https://www.google.com/maps/search/?api=1&query=Hotel+Bellevue+Syrene+Sorrento,Hotel 5 stelle (Relais & Chateaux),5,info@bellevue.it,https://www.bellevue.it/images/relais-chateaux_w.svg https://www.bellevue.it/images/relais-chateaux_g.svg https://www.bellevue.it/images/gallery/suites-rooms/hotel-sul-mare-sorrento_001.jpg,,2026-06-09,,No,Sorrento,Sì (probabile),Sì (SEO 92),No (non rilevato),Sì,4.0,Joomla. 49 camere. Vertical Booking + blog news-events presente. Da escludere. | PageSpeed mobile: perf=57 seo=92 bp=96. Stack: joomla|jQuery|Joomla. Booking engine: non rilevato.,(escluso - Joomla con blog e Vertical Booking) Hotel Bellevue Syrene; 5 stelle Relais & Chateaux; Sorrento.
Ara Maris Sorrento,https://www.aramarishotel.com,https://www.google.com/maps/search/?api=1&query=Ara+Maris+Hotel+Sorrento,Hotel 5 stelle lusso,5,info@aramarishotel.com,,,2026-06-09,,No,Sorrento,Sì (probabile),Sì (SEO 100),Sì (blastness),No,3.0,Aperto 2024 sito nuovo. Blastness confermato. | PageSpeed mobile: perf=61 seo=100 bp=77. Stack: n/d. Booking engine: blastness.,(escluso - struttura e sito nuovi 2024 con Blastness) Ara Maris; 5 stelle lusso; Sorrento.
