Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
San Francesco Resort,https://www.sanfrancescoresort.com,https://www.google.com/maps/search/?api=1&query=San+Francesco+Resort+Agropoli,Hotel/Resort SPA,2,info@sanfrancescoresort.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,4 stelle ex convento XII sec SPA wellness terrazza vista mare upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,San Francesco Resort; Hotel/Resort SPA; Agropoli; 4 stelle ex convento XII sec SPA wellness terrazza vista mare upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Playa,https://www.hotellaplayaacciaroli.it,https://www.google.com/maps/search/?api=1&query=Hotel+La+Playa+Acciaroli,Hotel,3,info@hotellaplayaacciaroli.it,,,2026-06-10,,No,Acciaroli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Sul mare Via Nicotera 135 Parco Nazionale Cilento mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel La Playa; Hotel; Acciaroli; Sul mare Via Nicotera 135 Parco Nazionale Cilento mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Vela,https://www.lavelapioppi.com,https://www.google.com/maps/search/?api=1&query=Hotel+La+Vela+Pioppi,Hotel,3,info@lavelapioppi.com,,,2026-06-10,,No,Pioppi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Direttamente sul mare camere vista mare Via Caracciolo 130 mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel La Vela; Hotel; Pioppi; Direttamente sul mare camere vista mare Via Caracciolo 130 mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Mec Paestum Hotel,https://www.mechotel.com,https://www.google.com/maps/search/?api=1&query=Mec+Paestum+Hotel+Paestum,Hotel 5 stelle,2,info@mechotel.com,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,A 100m dal mare vicino ai templi ristoranti luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Mec Paestum Hotel; Hotel 5 stelle; Paestum; A 100m dal mare vicino ai templi ristoranti luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
L'Araba Fenice Hotel & Resort,https://www.arabafenicespa.com,https://www.google.com/maps/search/?api=1&query=L%27Araba+Fenice+Hotel+%26+Resort+Paestum,Resort SPA 5 stelle,2,reception@arabafenicespa.com,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Parco 4 ettari SPA piscina 5 min dai templi UNESCO luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,L'Araba Fenice Hotel & Resort; Resort SPA 5 stelle; Paestum; Parco 4 ettari SPA piscina 5 min dai templi UNESCO luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Savoy Hotel & Spa Pagano,https://www.paganopaestum.it,https://www.google.com/maps/search/?api=1&query=Savoy+Hotel+%26+Spa+Pagano+Paestum,Hotel SPA,3,info@savoyhotelspa.it,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lusso vicino pineta e spiaggia Via Poseidonia Preferred Hotels luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Savoy Hotel & Spa Pagano; Hotel SPA; Paestum; Lusso vicino pineta e spiaggia Via Poseidonia Preferred Hotels luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Schuhmann,https://www.hotelschuhmann.com,https://www.google.com/maps/search/?api=1&query=Hotel+Schuhmann+Paestum,Hotel 4 stelle,3,info@hotelschuhmann.com,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Direttamente sulla spiaggia vicino area archeologica mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Schuhmann; Hotel 4 stelle; Paestum; Direttamente sulla spiaggia vicino area archeologica mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Paestum Inn Beach Resort,https://paestuminn.com,https://www.google.com/maps/search/?api=1&query=Paestum+Inn+Beach+Resort+Paestum,Resort/Villaggio 4 stelle,4,info@paestuminn.com,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Fronte mare spiaggia privata piscina bici Via Litoranea family. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Paestum Inn Beach Resort; Resort/Villaggio 4 stelle; Paestum; Fronte mare spiaggia privata piscina bici Via Litoranea family; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Agriturismo Seliano,https://www.agriturismoseliano.it,https://www.google.com/maps/search/?api=1&query=Agriturismo+Seliano+Paestum,Agriturismo,3,info@aziendabellelli.it,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Turismo rurale famiglia Bellelli vicino scavi charme campagna. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Agriturismo Seliano; Agriturismo; Paestum; Turismo rurale famiglia Bellelli vicino scavi charme campagna; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Il Cannito,https://www.ilcannito.com,https://www.google.com/maps/search/?api=1&query=Il+Cannito+Paestum,Agriturismo/B&B,4,,,,2026-06-10,,No,Paestum,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Agriturismo con piscina collina Capaccio 15 ettari vista templi charme. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Il Cannito; Agriturismo/B&B; Paestum; Agriturismo con piscina collina Capaccio 15 ettari vista templi charme; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Ruggiero Park Hotel,http://www.ruggieroparkhotel.com,https://www.google.com/maps/search/?api=1&query=Ruggiero+Park+Hotel+Vallo+della+Lucania,Hotel 3 stelle,3,info@ruggieroparkhotel.com,,,2026-06-10,,No,Vallo della Lucania,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,A pochi passi dal centro Via della Gatta business mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Ruggiero Park Hotel; Hotel 3 stelle; Vallo della Lucania; A pochi passi dal centro Via della Gatta business mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Cilentour ANBI Travel,https://www.cilentour.com,https://www.google.com/maps/search/?api=1&query=Cilentour+ANBI+Travel+Agropoli,Tour Operator,3,info@cilentour.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Agenzia TO ad Agropoli tour Campania escursioni Paestum-Velia incoming. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Cilentour ANBI Travel; Tour Operator; Agropoli; Agenzia TO ad Agropoli tour Campania escursioni Paestum-Velia incoming; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Discover Cilento,https://www.discovercilento.it,https://www.google.com/maps/search/?api=1&query=Discover+Cilento+Pisciotta,Tour Operator,3,info@discovercilento.it,,,2026-06-10,,No,Pisciotta,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Agenzia TO dal 2017 escursioni transfer noleggio gruppi e individuali. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Discover Cilento; Tour Operator; Pisciotta; Agenzia TO dal 2017 escursioni transfer noleggio gruppi e individuali; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
ArcheoTrekking,https://www.archeotrekking.net,https://www.google.com/maps/search/?api=1&query=ArcheoTrekking+Vallo+della+Lucania,Tour Operator,3,info@archeotrekking.net,,,2026-06-10,,No,Vallo della Lucania,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,TO trekking visite guidate Paestum Velia viaggi istruzione uffici Vallo e Ascea. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,ArcheoTrekking; Tour Operator; Vallo della Lucania; TO trekking visite guidate Paestum Velia viaggi istruzione uffici Vallo e Ascea; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Saline,https://www.hotelsaline.com,https://www.google.com/maps/search/?api=1&query=Hotel+Saline+Palinuro,Hotel 4 stelle,3,info@hotelsaline.com,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Family hotel sul mare piscina spiaggia privata miniclub centro benessere. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Saline; Hotel 4 stelle; Palinuro; Family hotel sul mare piscina spiaggia privata miniclub centro benessere; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Palinuro,https://www.hotelpalinuro.net,https://www.google.com/maps/search/?api=1&query=Hotel+Palinuro+Palinuro,Hotel 3 stelle,3,info@hotelpalinuro.net,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Porto 12 vicino al porto e al centro mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Palinuro; Hotel 3 stelle; Palinuro; Via Porto 12 vicino al porto e al centro mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel San Pietro,https://www.grandhotelsanpietro.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+San+Pietro+Palinuro,Hotel 4 stelle,3,info@grandhotelsanpietro.com,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Corso Pisacane sulla spiaggia mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Grand Hotel San Pietro; Hotel 4 stelle; Palinuro; Corso Pisacane sulla spiaggia mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Albergo Santa Caterina,https://www.albergosantacaterina.com,https://www.google.com/maps/search/?api=1&query=Albergo+Santa+Caterina+Palinuro,Hotel 4 stelle,3,info@albergosantacaterina.com,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Storico dal 1949 vista mare spa mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo Santa Caterina; Hotel 4 stelle; Palinuro; Storico dal 1949 vista mare spa mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Torre,https://www.latorrepalinuro.it,https://www.google.com/maps/search/?api=1&query=Hotel+La+Torre+Palinuro,Hotel/Residence,3,info@latorrepalinuro.it,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Porto 5 vicino al porto con lido mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel La Torre; Hotel/Residence; Palinuro; Via Porto 5 vicino al porto con lido mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Cala d'Arconte Hotel Village,https://www.caladarconte.it,https://www.google.com/maps/search/?api=1&query=Cala+d%27Arconte+Hotel+Village+Marina+di+Camerota,Villaggio alberghiero,4,info@caladarconte.it,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Contrada Arconte 9 su spiaggia tra pineta camping village famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Cala d'Arconte Hotel Village; Villaggio alberghiero; Marina di Camerota; Contrada Arconte 9 su spiaggia tra pineta camping village famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villaggio La Barca,https://www.villaggiolabarca.it,https://www.google.com/maps/search/?api=1&query=Villaggio+La+Barca+Marina+di+Camerota,Villaggio 3 stelle,4,info@villaggiolabarca.it,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Via Sirene direttamente sul mare famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Villaggio La Barca; Villaggio 3 stelle; Marina di Camerota; Via Sirene direttamente sul mare famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Scogliera,https://www.lascoglierahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+La+Scogliera+Marina+di+Camerota,Hotel 3 stelle,3,info@lascoglierahotel.it,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare Trieste 97 fronte mare con spiaggia privata. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel La Scogliera; Hotel 3 stelle; Marina di Camerota; Lungomare Trieste 97 fronte mare con spiaggia privata; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Odissea Camping Village,https://www.odisseavillage.com,https://www.google.com/maps/search/?api=1&query=Odissea+Camping+Village+Marina+di+Camerota,Camping village 3 stelle,4,info@odisseavillage.com,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Localita Mingardo pineta secolare spiaggia bianca famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Odissea Camping Village; Camping village 3 stelle; Marina di Camerota; Localita Mingardo pineta secolare spiaggia bianca famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villaggio Nessuno,https://www.villaggionessuno.com,https://www.google.com/maps/search/?api=1&query=Villaggio+Nessuno+Marina+di+Camerota,Villaggio/Residence,4,info@villaggionessuno.com,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Contrada Mingardo 3 45000 mq tra pineta e frutteto famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Villaggio Nessuno; Villaggio/Residence; Marina di Camerota; Contrada Mingardo 3 45000 mq tra pineta e frutteto famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Albergo Delfino,https://www.albergodelfino.it,https://www.google.com/maps/search/?api=1&query=Albergo+Delfino+Marina+di+Camerota,Hotel 3 stelle,3,info@albergodelfino.it,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Bolivar 55 mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo Delfino; Hotel 3 stelle; Marina di Camerota; Via Bolivar 55 mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
